k,g,s,cv,npf
100.0,1.0,0.0,0.2,0.984328
100.0,1.0,0.0,0.25,0.926552
100.0,1.0,0.0,0.3,0.898608
100.0,1.0,0.0,0.35,0.868672
100.0,1.0,0.0,0.4,0.834348
100.0,1.0,0.0,0.45,0.80898
100.0,1.0,0.01,0.15,0.99222
100.0,1.0,0.01,0.2,0.987888
100.0,1.0,0.01,0.25,0.930632
100.0,1.0,0.01,0.3,0.903452
100.0,1.0,0.01,0.35,0.872468
100.0,1.0,0.01,0.4,0.839024
100.0,1.0,0.01,0.45,0.80826
100.0,1.0,0.1,0.15,1.001484
100.0,1.0,0.1,0.2,0.999052
100.0,1.0,0.1,0.25,0.960492
100.0,1.0,0.1,0.3,0.936632
100.0,1.0,0.1,0.35,0.910232
100.0,1.0,0.1,0.4,0.877124
100.0,1.0,0.1,0.45,0.848308
100.0,1.0,0.5,0.15,1.00108
100.0,1.0,0.5,0.2,0.999268
100.0,1.0,0.5,0.25,1.001664
100.0,1.0,0.5,0.3,1.000048
100.0,1.0,0.5,0.35,0.99786
100.0,1.0,0.5,0.4,0.995928
100.0,1.0,0.5,0.45,0.984404
100.0,1.0,1.0,0.15,1.00056
100.0,1.0,1.0,0.2,0.999696
100.0,1.0,1.0,0.25,0.997632
100.0,1.0,1.0,0.3,1.001744
100.0,1.0,1.0,0.35,1.000208
100.0,1.0,1.0,0.4,1.00186
100.0,1.0,1.0,0.45,0.999572
